Name,RA (J2000),Dec (J2000),Object Type,cz [km/s],z-flag,Redshift Reference,PA [deg],Sep. [Mpc],Δcz [km/s]
SDSS J155452.58+210958.5,15h54m52.58s,+21d09m58.6s,G,8284,,2007SDSS6.C...0000:,115.9,6.5846,2850
CGCG 166-031,15h40m36.63s,+28d30m44.9s,G,9831,,2006SDSS5.C...0000:,13.9,6.5881,4397
[RGH95] 153824.0+284100,15h40m27.99s,+28d31m23.2s,G,9767,,1995AJ....109.1458R,13.6,6.5913,4333
IC 4582,15h45m39.45s,+28d05m19.2s,G,2145,,1991RC3.9.C...0000d,27.1,6.6028,-3289
KUG 1555+234,15h57m32.31s,+23d20m50.4s,G,9855,,2006SDSS5.C...0000:,90.6,6.6072,4421
SDSS J155452.01+210710.8,15h54m52.01s,+21d07m10.9s,G,5635,,2007SDSS6.C...0000:,116.4,6.6101,201
SDSS J155510.63+211519.9,15h55m10.63s,+21d15m20.0s,G,9655,,2007SDSS6.C...0000:,114.7,6.6121,4221
UGC 10089,15h54m52.10s,+21d07m00.1s,G,5495,,1999PASP..111..438F,116.4,6.6124,61
CGCG 166-060,15h49m01.71s,+27d36m35.9s,G,2178,,1999PASP..111..438F,37.0,6.6163,-3256
IC 4581,15h44m01.52s,+28d16m37.3s,G,9994,,1995A&AS..112..429F,22.7,6.6180,4560
SDSS J154338.20+281853.7,15h43m38.20s,+28d18m53.8s,G,9619,,2005SDSS4.C...0000:,21.6,6.6196,4185
SDSS J153508.79+284159.4,15h35m08.79s,+28d41m59.4s,G,2018,,2007SDSS6.C...0000:,0.5,6.6253,-3416
IC 4580,15h43m14.24s,+28d21m24.6s,G,9567,,1995AJ....109.1458R,20.5,6.6272,4133
SDSS J155431.09+205615.1,15h54m31.10s,+20d56m15.2s,G,4184,,2007SDSS6.C...0000:,118.6,6.6338,-1250
2MFGC 12646,15h43m28.33s,+28d20m38.5s,G,9559,,2006SDSS5.C...0000:,21.1,6.6365,4125
SDSS J152307.78+190501.4,15h23m07.79s,+19d05m01.4s,G,4486,,2011ApJ...735..125S,-147.5,6.6381,-948
CID 54,15h57m06.00s,+22d24m00.0s,GClstr,4410,,1999MNRAS.305..259W,101.1,6.6495,-1024
CGCG 135-030,15h14m08.23s,+25d41m58.6s,G,6665,,2011AJ....142..170H,-64.0,6.6500,1231
SDSS J155452.58+210306.5,15h54m52.59s,+21d03m06.6s,G,5496,,2007SDSS6.C...0000:,117.0,6.6543,62
SDSS J154236.24+282555.8,15h42m36.24s,+28d25m55.9s,G,9450,,2005SDSS4.C...0000:,18.8,6.6550,4016
NGC 6020,15h57m08.14s,+22d24m16.5s,G,4307,,1999A&AS..140..327M,101.1,6.6584,-1127
VGS 51a,15h12m30.00s,+24d33m52.0s,G,7587,,2015ApJ...798L..15K,-77.2,6.6744,2153
SDSS J155525.96+211538.8,15h55m25.96s,+21d15m38.9s,G,8102,,2007SDSS6.C...0000:,114.4,6.6774,2668
SDSS J155711.30+222315.9,15h57m11.30s,+22d23m15.9s,G,4251,,2007SDSS6.C...0000:,101.2,6.6786,-1183
2MASX J15571967+2440497,15h57m19.56s,+24d40m48.0s,G,7435,,2007SDSS6.C...0000:,75.9,6.6795,2001
SDSS J154308.15+282509.9,15h43m08.16s,+28d25m09.9s,G,9568,,2005SDSS4.C...0000:,20.1,6.6917,4134
SDSS J151849.17+271655.5,15h18m49.15s,+27d16m55.9s,G,9598,,2011ApJ...735..125S,-43.1,6.6921,4164
SDSS J155715.23+222000.7,15h57m15.24s,+22d20m00.7s,G,4369,,2007SDSS6.C...0000:,101.7,6.7139,-1065
SDSS J155352.71+203450.7,15h53m52.72s,+20d34m50.7s,G,8068,,2011ApJ...735..125S,122.8,6.7179,2634
[DZ2015] 715,15h43m44.88s,+28d23m31.2s,GGroup,9757,,2015A&A...578A..61D,21.5,6.7229,4323
SDSS J155507.61+210206.7,15h55m07.62s,+21d02m06.7s,G,4270,,2007SDSS6.C...0000:,116.9,6.7302,-1164
MSPM 00764,15h43m46.06s,+28d24m54.7s,GClstr,9668,,2012MNRAS.422...25S,21.5,6.7525,4234
CGCG 166-044,15h43m46.06s,+28d24m54.8s,G,10051,,1995AJ....109.1458R,21.5,6.7526,4617
2MASX J15554706+2116572,15h55m47.12s,+21d16m56.9s,G,7949,,2007SDSS6.C...0000:,113.7,6.7599,2515
SDSS J151211.61+243344.1,15h12m11.61s,+24d33m44.2s,G,7587,,2011ApJ...735..125S,-77.3,6.7617,2153
SDSS J151211.61+243344.2,15h12m11.61s,+24d33m44.2s,G,7584,,2007SDSS6.C...0000:,-77.3,6.7618,2150
2MASX J15512831+2717122,15h51m28.31s,+27d17m12.6s,G,9488,,1988AJ.....95.1602S,43.7,6.7736,4054
CGCG 137-002,15h56m02.56s,+21d23m01.4s,G,8162,,2007SDSS6.C...0000:,112.5,6.7744,2728
2MASX J15550661+2055213,15h55m06.65s,+20d55m21.5s,G,5533,,2007SDSS6.C...0000:,118.0,6.7968,99
SDSS J151444.99+261445.4,15h14m44.99s,+26d14m45.5s,G,9175,,2011ApJ...735..125S,-58.1,6.8086,3741
SDSS J155202.44+195540.8,15h52m02.45s,+19d55m40.8s,G,5561,,2011ApJ...735..125S,131.2,6.8096,127
SDSS J155729.57+221311.7,15h57m29.58s,+22d13m11.8s,G,4637,,2007SDSS6.C...0000:,102.8,6.8188,-797
WBL 584,15h43m45.75s,+28d28m35.1s,GGroup,9827,,1999AJ....118.2014W,21.2,6.8246,4393
SDSS J155701.91+252052.2,15h57m01.92s,+25d20m52.2s,G,9368,,2005SDSS4.C...0000:,68.7,6.8251,3934
SDSS J155616.01+212400.4,15h56m16.01s,+21d24m00.5s,G,8050,,2007SDSS6.C...0000:,112.1,6.8267,2616
SDSS J151307.59+253115.7,15h13m07.60s,+25d31m15.8s,G,9897,,2011AJ....142..170H,-66.8,6.8329,4463
SDSS J154319.75+283216.3,15h43m19.76s,+28d32m16.4s,G,9643,,2005SDSS4.C...0000:,20.0,6.8530,4209
2MASX J15564753+2533486,15h56m47.56s,+25d33m49.2s,G,9256,,2006SDSS5.C...0000:,66.4,6.8556,3822
SDSS J155635.52+212938.6,15h56m35.53s,+21d29m38.7s,G,4420,,2007SDSS6.C...0000:,110.8,6.8676,-1014
CGCG 166-043,15h43m44.40s,+28d31m17.0s,G,9832,,1995AJ....109.1458R,21.0,6.8757,4398
2MASX J15565277+2534067,15h56m52.75s,+25d34m06.9s,G,9552,,2012ApJS..199...26H,66.4,6.8812,4118
CGCG 166-047,15h43m57.35s,+28d31m26.7s,G,9646,,1988AJ.....95.1602S,21.5,6.9018,4212
SDSS J155400.80+264722.3,15h54m00.81s,+26d47m22.3s,G,9363,,2005SDSS4.C...0000:,51.7,6.9135,3929
KISSB 194,15h31m09.80s,+28d51m32.3s,G,9893,,2001AJ....121...66S,-8.8,6.9151,4459
2MASX J15111657+2334209,15h11m16.53s,+23d34m21.7s,G,4230,,2007SDSS6.C...0000:,-88.1,6.9207,-1204
SDSS J151626.08+265844.9,15h16m26.08s,+26d58m45.0s,G,9910,,2011ApJ...735..125S,-49.3,6.9390,4476
2MASX J15243119+1837429,15h24m31.22s,+18d37m43.6s,G,8779,,2011ApJ...735..125S,-153.0,6.9472,3345
SDSS J153046.50+180747.3,15h30m46.51s,+18d07m47.4s,G,8858,,2011ApJ...735..125S,-169.5,6.9644,3424
CGCG 137-004,15h56m33.70s,+21d17m20.7s,G,4407,,2007SDSS6.C...0000:,112.9,6.9660,-1027
SDSS J151102.61+233638.3,15h11m02.62s,+23d36m38.3s,G,4701,,2007SDSS6.C...0000:,-87.7,6.9886,-733
CGCG 135-025,15h11m00.90s,+23d36m33.3s,G,4999,,1999PASP..111..438F,-87.7,6.9970,-435
SDSS J151646.43+270855.4,15h16m46.44s,+27d08m55.4s,G,9839,,2011ApJ...735..125S,-47.5,7.0032,4405
SDSS J151240.74+253801.7,15h12m40.74s,+25d38m01.7s,G,1415,,2011ApJ...735..125S,-66.0,7.0061,-4019
SDSS J155708.44+213050.6,15h57m08.45s,+21d30m50.6s,G,9510,,2007SDSS6.C...0000:,110.1,7.0089,4076
[RGH89] 110,15h27m16.99s,+28d43m37.0s,GGroup,10226,,1995AJ....109.1458R,-17.8,7.0141,4792
SDSS J154611.85+183920.6,15h46m11.86s,+18d39m20.6s,G,9219,,2007SDSS6.C...0000:,151.1,7.0281,3785
2MASX J15160111+2658454,15h16m01.12s,+26d58m45.1s,G,9894,,2011AJ....142..170H,-49.9,7.0323,4460
FBQS J154607.4+282457,15h46m07.47s,+28d24m57.5s,G,10048,,2006SDSS5.C...0000:,26.5,7.0354,4614
SDSS J155601.68+261702.3,15h56m01.69s,+26d17m02.3s,G,2618,,2011AJ....142..170H,58.7,7.0503,-2816
SDSS J155419.39+201614.7,15h54m19.39s,+20d16m14.7s,G,5070,,2011ApJ...735..125S,124.8,7.0580,-364
CGCG 165-035,15h14m39.79s,+26d35m39.1s,G,9646,,2014ApJ...789..112C,-55.0,7.0622,4212
SDSS J153440.98+290322.2,15h34m40.98s,+29d03m22.3s,G,2129,,2002AJ....123.1292S,-0.6,7.0826,-3306
2MASX J15564236+2108102,15h56m42.35s,+21d08m10.8s,G,5522,,2007SDSS6.C...0000:,114.1,7.0894,88
IC 4547,15h27m15.07s,+28d47m20.3s,G,10323,,1998AJ....116.1529H,-17.7,7.0924,4889
2MFGC 12798,15h57m21.56s,+25d47m18.9s,G,5905,,2006SDSS5.C...0000:,64.7,7.1163,471
SDSS J151037.77+232303.2,15h10m37.78s,+23d23m03.2s,G,4524,,2011ApJ...735..125S,-90.0,7.1168,-910
2MASX J15125771+2559584,15h12m57.73s,+25d59m58.5s,G,10215,,2011ApJ...735..125S,-62.3,7.1185,4781
NGC 6003,15h49m25.64s,+19d01m55.5s,G,3937,,2003AJ....125.2891C,142.3,7.1414,-1497
2MASX J15273345+2851087,15h27m33.50s,+28d51m08.5s,G,9588,,1998AJ....116.1529H,-16.8,7.1429,4154
SDSS J151204.63+253745.0,15h12m04.63s,+25d37m45.0s,G,6710,,2011AJ....142..170H,-66.6,7.1661,1276
SDSS J155623.89+204959.7,15h56m23.90s,+20d49m59.8s,G,8364,,2007SDSS6.C...0000:,117.2,7.1890,2930
IC 4546,15h26m58.41s,+28d51m09.4s,G,10348,,1998AJ....116.1529H,-18.1,7.1948,4914
UGC 09841,15h25m34.08s,+18d16m38.0s,G,4392,,1997AJ....114..122G,-156.8,7.2281,-1042
UGC 09777,15h14m15.15s,+20d28m43.2s,G,4693,,1998A&AS..130..333T,-121.2,7.2343,-741
SDSS J152532.14+181619.4,15h25m32.14s,+18d16m19.4s,G,4203,,2011ApJ...735..125S,-156.8,7.2379,-1231
2MASX J15141911+2644581,15h14m19.14s,+26d44m58.3s,G,9358,,2011ApJ...735..125S,-54.1,7.2541,3924
SDSS J151450.92+265523.0,15h14m50.92s,+26d55m23.0s,G,9235,,2011AJ....142..170H,-52.0,7.2565,3801
SDSS J151334.39+262916.2,15h13m34.39s,+26d29m16.3s,G,10042,,2011AJ....142..170H,-57.3,7.2570,4608
SDSS J155042.44+275731.5,15h50m42.44s,+27d57m31.6s,G,9305,,2005SDSS4.C...0000:,37.7,7.2638,3871
2MASX J15141471+2644321,15h14m14.71s,+26d44m32.4s,G,9272,,2011ApJ...735..125S,-54.3,7.2666,3838
[M98j] 249,15h49m50.38s,+18d58m56.9s,GGroup,4240,,1998Afz....41..308M,141.8,7.2671,-1194
2MASX J15430932+1807562,15h43m09.34s,+18d07m56.1s,G,4468,,2007SDSS6.C...0000:,160.0,7.2737,-966
CGCG 166-040,15h42m55.61s,+28d55m28.6s,G,9503,,1992ApJS...79..157F,17.8,7.2816,4069
SDSS J152645.32+180625.6,15h26m45.32s,+18d06m25.7s,G,4673,,2011ApJ...735..125S,-160.1,7.3039,-761
UGC 09763,15h12m02.18s,+21d17m54.1s,G,4707,,1991RC3.9.C...0000d,-111.5,7.3182,-727
SDSS J154315.71+180509.4,15h43m15.72s,+18d05m09.5s,G,7189,,2007SDSS6.C...0000:,159.9,7.3405,1755
SDSS J151217.89+260826.2,15h12m17.89s,+26d08m26.3s,G,10045,,2011AJ....142..170H,-61.7,7.3695,4611
SDSS J154603.32+182016.7,15h46m03.32s,+18d20m16.8s,G,1496,,2007SDSS6.C...0000:,152.8,7.3717,-3938
NGC 6004,15h50m22.72s,+18d56m21.4s,G,3826,,1991RC3.9.C...0000d,141.1,7.4103,-1608
SDSS J155023.50+185613.2,15h50m23.51s,+18d56m13.2s,G,3913,,2007SDSS6.C...0000:,141.0,7.4150,-1521
NGC 5928,15h26m02.88s,+18d04m25.1s,G,4516,,2008AJ....135.2424O,-158.6,7.4178,-918
LDCE 1152,15h49m51.00s,+18d49m58.0s,GTrpl,4027,,2008ApJ...685.1320C,142.7,7.4237,-1407
SDSS J151315.36+263745.5,15h13m15.47s,+26d37m44.3s,G,9490,,2011AJ....142..170H,-56.4,7.4277,4056
[RPG97] 360,15h49m38.63s,+18d45m56.2s,GGroup,3980,,1997AJ....113..483R,143.5,7.4574,-1454
SDSS J151114.75+212703.8,15h11m14.75s,+21d27m03.9s,G,4721,,2011ApJ...735..125S,-109.4,7.4607,-713
SDSS J150925.48+234529.3,15h09m25.49s,+23d45m29.3s,G,4197,,2007SDSS6.C...0000:,-86.2,7.4664,-1237
USGC U728,15h49m43.90s,+18d45m51.0s,GGroup,3994,,2002AJ....123.2976R,143.3,7.4743,-1440
NGC 6016,15h55m54.87s,+26d57m59.4s,G,6488,,1992ApJS...79..157F,52.8,7.4882,1054
MSPM 01073,15h47m42.00s,+28d37m50.9s,GClstr,9977,,2012MNRAS.422...25S,28.5,7.4912,4543
UGC 10036 NOTES01,15h47m42.00s,+28d37m50.9s,G,9980,,2005SDSS4.C...0000:,28.5,7.4913,4546
Hercules Supercluster,15h47m03.22s,+18d20m46.7s,GClstr,10000,,1979ApJ...234..793T,150.7,7.5013,4566
SDSS J152130.11+283253.5,15h21m30.11s,+28d32m53.5s,G,9473,,1997ApJS..111....1S,-30.2,7.5021,4039
NGC 6001,15h47m45.96s,+28d38m30.1s,G,9960,,2005SDSS4.C...0000:,28.6,7.5126,4526
SDSS J154724.36+284130.9,15h47m24.37s,+28d41m30.9s,G,10036,,2005SDSS4.C...0000:,27.6,7.5189,4602
SDSS J151245.00+263449.3,15h12m45.01s,+26d34m49.3s,G,10014,,2011ApJ...735..125S,-57.4,7.5210,4580
SDSS J152121.48+283249.9,15h21m21.49s,+28d32m49.9s,G,9563,,1997ApJS..111....1S,-30.5,7.5224,4129
KISSR 0725,15h24m36.20s,+28d55m39.5s,G,9536,,1995AJ....109.1458R,-22.6,7.5274,4102
SDSS J154800.13+283743.4,15h48m00.13s,+28d37m43.4s,G,9911,,2005SDSS4.C...0000:,29.1,7.5318,4477
UGC 09820,15h21m23.66s,+28d33m39.3s,G,9461,,1999PASP..111..438F,-30.3,7.5319,4027
2MASX J15242716+2855297,15h24m27.14s,+28d55m29.5s,G,9654,,1995AJ....109.1458R,-22.9,7.5414,4220
SDSS J155805.36+205847.9,15h58m05.37s,+20d58m48.0s,G,8315,,2007SDSS6.C...0000:,114.1,7.5500,2881
SDSS J151237.21+263435.6,15h12m37.21s,+26d34m35.6s,G,9883,,2011ApJ...735..125S,-57.6,7.5508,4449
SDSS J152111.24+283323.8,15h21m11.28s,+28d33m23.5s,G,9653,,1997ApJS..111....1S,-30.7,7.5580,4219
LSBC D584-04,15h57m27.48s,+20d39m59.1s,G,2264,,1992AJ....103.1107S,117.5,7.5714,-3170
CGCG 165-031,15h13m24.09s,+26d53m56.3s,G,9386,,1995AJ....109.2368T,-54.0,7.5794,3952
SDSS J151429.28+271521.9,15h14m29.29s,+27d15m21.2s,G,9274,,2011ApJ...735..125S,-49.9,7.5957,3840
UGC 10117,15h59m23.91s,+21d36m12.7s,G,5375,,1995AJ....109..874B,107.4,7.5972,-59
2MASX J15092925+2224123,15h09m29.24s,+22d24m12.2s,G,4774,,2011ApJ...735..125S,-99.4,7.6103,-660
SDSS J160038.94+224101.4,16h00m38.95s,+22d41m01.5s,G,9758,,2007SDSS6.C...0000:,96.6,7.6112,4324
CGCG 166-023,15h38m43.45s,+29d24m50.7s,G,9791,,1996AJ....112.1759D,7.9,7.6186,4357
ARK 486,15h49m22.60s,+18d33m31.5s,G,3905,,1999PASP..111..438F,145.1,7.6307,-1529
2MASX J15085623+2416411,15h08m56.20s,+24d16m41.8s,G,5487,,2007SDSS6.C...0000:,-81.3,7.6521,53
2MASX J15212763+2841390,15h21m27.64s,+28d41m39.0s,G,9234,,1997ApJS..111....1S,-29.5,7.6683,3800
FGC 223A,15h14m17.32s,+27d18m27.4s,G,9310,,2011AJ....142..170H,-49.7,7.6815,3876
KUG 1558+225,16h00m41.03s,+22d23m51.0s,G,5387,,2007SDSS6.C...0000:,99.3,7.6882,-47
KUG 1556+262,15h58m52.06s,+26d08m08.0s,G,9712,,2006SDSS5.C...0000:,62.9,7.6947,4278
2MFGC 12627,15h42m01.53s,+17d41m56.6s,G,9169,,2007SDSS6.C...0000:,163.8,7.7013,3735
CGCG 166-062,15h49m45.60s,+28d32m49.4s,G,9176,,1999PASP..111..438F,32.6,7.7086,3742
SDSS J151616.63+275021.7,15h16m16.64s,+27d50m21.7s,G,9553,,2011ApJ...735..125S,-43.2,7.7093,4119
SDSS J155704.80+265324.0,15h57m04.80s,+26d53m24.1s,G,6532,,2011ApJ...741..122O,54.8,7.7103,1098
SDSS J151357.34+271516.0,15h13m57.37s,+27d15m16.7s,G,6746,,2011AJ....142..170H,-50.6,7.7152,1312
LSBC F513-V01,15h10m45.24s,+26d01m53.6s,G,9994,,2011AJ....142..170H,-64.0,7.7159,4560
UGC 10050,15h49m44.91s,+18d31m36.9s,G,4129,,2007SDSS6.C...0000:,144.6,7.7278,-1305
SDSS J152523.40+291018.8,15h25m23.44s,+29d10m18.7s,G,6435,,2006SDSS5.C...0000:,-20.2,7.7329,1001
SDSS J151606.70+275025.8,15h16m06.71s,+27d50m25.9s,G,9570,,2011ApJ...735..125S,-43.4,7.7438,4136
SDSS J155634.75+200441.8,15h56m34.76s,+20d04m41.9s,G,9629,,2011ApJ...735..125S,123.3,7.7537,4195
SDSS J150902.15+245506.2,15h09m02.16s,+24d55m06.2s,G,6837,,2007SDSS6.C...0000:,-75.2,7.7539,1403
SDSS J155148.59+185200.9,15h51m48.60s,+18d52m01.0s,G,3815,,2011ApJ...735..125S,138.9,7.7541,-1619
CGCG 108-013,15h56m33.68s,+20d03m08.5s,G,9640,,1991RC3.9.C...0000d,123.5,7.7686,4206
SDSS J155143.62+184956.4,15h51m43.63s,+18d49m56.4s,G,3582,,2011ApJ...735..125S,139.3,7.7725,-1852
SDSS J154845.62+284452.4,15h48m45.63s,+28d44m52.4s,G,9299,,2005SDSS4.C...0000:,29.8,7.7730,3865
[RPG97] 361,15h49m33.01s,+28d39m26.2s,GGroup,9479,,1997AJ....113..483R,31.7,7.7936,4045
CGCG 166-059,15h48m57.72s,+28d44m23.1s,G,9810,,2005SDSS4.C...0000:,30.2,7.7939,4376
2MASX J15500065+2835258,15h50m00.63s,+28d35m26.0s,G,9237,,2005SDSS4.C...0000:,32.8,7.7947,3803
USGC U727,15h49m36.00s,+28d39m35.0s,GGroup,9500,,2002AJ....123.2976R,31.7,7.8039,4066
SDSS J160052.23+250555.1,16h00m52.23s,+25d05m55.2s,G,9938,,2005SDSS4.C...0000:,73.6,7.8053,4504
SDSSCGB 47042.01,15h33m30.30s,+29d37m05.3s,G,9863,,2001AJ....121...66S,-3.0,7.8151,4429
SDSS J154922.59+182243.4,15h49m22.60s,+18d22m43.4s,G,3949,,2007SDSS6.C...0000:,146.0,7.8245,-1485
SDSS J150925.64+252815.2,15h09m25.65s,+25d28m15.2s,G,6615,,2007SDSS6.C...0000:,-70.0,7.8247,1181
SDSS J154823.14+285126.7,15h48m23.14s,+28d51m26.8s,G,10107,,2005SDSS4.C...0000:,28.6,7.8401,4673
MCG +03-40-020,15h39m40.85s,+17d27m30.7s,G,8776,,2011ApJ...735..125S,169.4,7.8427,3342
2MASX J15503125+2833343,15h50m31.27s,+28d33m34.6s,G,9488,,2004SDSS3.C...0000:,33.8,7.8448,4053
2MASX J15544890+1926143,15h54m48.90s,+19d26m15.2s,G,9859,,2011ApJ...735..125S,130.4,7.8535,4425
SDSS J155624.45+271842.8,15h56m24.45s,+27d18m42.9s,G,9951,,2011ApJ...741..122O,50.7,7.8634,4517
CGCG 107-020,15h39m32.77s,+17d25m54.7s,G,8799,,1995A&AS..112..429F,169.7,7.8693,3365
SDSS J154935.27+284336.4,15h49m35.28s,+28d43m36.5s,G,9986,,2005SDSS4.C...0000:,31.4,7.8743,4552
2MASX J15444762+2916078,15h44m47.59s,+29d16m08.1s,G,9314,,2005SDSS4.C...0000:,20.4,7.8772,3880
MSPM 00864,15h50m20.93s,+28d37m18.8s,GClstr,9590,,2012MNRAS.422...25S,33.2,7.8822,4156
SDSS J155020.93+283718.9,15h50m20.93s,+28d37m18.9s,G,9340,,2005SDSS4.C...0000:,33.2,7.8822,3906
CGCG 107-013,15h36m36.21s,+17d20m17.5s,G,4285,,1999PASP..111..438F,176.3,7.8838,-1149
SDSS J160115.72+221744.0,16h01m15.73s,+22d17m44.0s,G,9843,,2007SDSS6.C...0000:,100.0,7.8840,4409
SDSS J152551.91+174202.1,15h25m51.91s,+17d42m02.2s,G,8780,,2011ApJ...735..125S,-159.5,7.8872,3346
SDSS J155938.50+210802.6,15h59m38.51s,+21d08m02.6s,G,9710,,2007SDSS6.C...0000:,111.3,7.8884,4276
LSBC F583-04,15h52m09.33s,+18d47m52.1s,G,3617,,2001AJ....122.2396D,138.8,7.8896,-1817
SDSS J160152.34+240259.7,16h01m52.34s,+24d02m59.7s,G,9664,,2006SDSS5.C...0000:,83.6,7.8902,4229
SDSS J155104.40+283110.7,15h51m04.40s,+28d31m10.8s,G,9986,,2005SDSS4.C...0000:,35.0,7.8953,4552
2MASX J15505896+2832114,15h50m59.01s,+28d32m10.9s,G,9557,,2004SDSS3.C...0000:,34.7,7.8974,4123
SDSS J155706.13+200311.3,15h57m06.14s,+20d03m11.3s,G,9935,,2007SDSS6.C...0000:,122.8,7.9016,4501
SDSS J154134.90+173023.4,15h41m34.91s,+17d30m23.5s,G,4209,,2011ApJ...735..125S,165.2,7.9056,-1225
SDSS J150845.36+220604.4,15h08m45.37s,+22d06m04.4s,G,6112,,2011ApJ...735..125S,-101.8,7.9103,678
CGCG 137-014,16h01m28.69s,+22d25m39.4s,G,9780,,1995AJ....109..874B,98.7,7.9118,4346
KUG 1559+251,16h01m25.71s,+24d58m59.8s,G,9362,,2006SDSS5.C...0000:,74.9,7.9300,3928
SDSS J160006.73+211837.2,16h00m06.74s,+21d18m37.2s,G,9665,,2007SDSS6.C...0000:,109.4,7.9308,4231
CGCG 166-064,15h50m34.11s,+28d38m18.7s,G,9612,,1999PASP..111..438F,33.5,7.9353,4178
SDSS J154954.74+284418.3,15h49m54.75s,+28d44m18.3s,G,9260,,2005SDSS4.C...0000:,31.9,7.9370,3826
2MASX J16013963+2230136,16h01m39.63s,+22d30m13.9s,G,10158,,2007SDSS6.C...0000:,97.9,7.9465,4724
CGCG 107-048,15h51m12.31s,+18d33m46.2s,G,8483,,1999PASP..111..438F,141.7,7.9478,3049
SDSS J154404.96+292316.2,15h44m04.97s,+29d23m16.3s,G,10334,,2005SDSS4.C...0000:,18.6,7.9505,4900
GALEXASC J155635.53+272222.8,15h56m35.44s,+27d22m22.6s,G,9585,,2011ApJ...741..122O,50.5,7.9524,4151
SDSS J154712.85+175727.1,15h47m12.86s,+17d57m27.2s,G,3305,,2007SDSS6.C...0000:,152.1,7.9673,-2129
NGC 6027b,15h59m10.83s,+20d45m43.9s,G,4053,,1999A&AS..139..483B,114.9,7.9687,-1381
2MFGC 12650,15h43m44.88s,+29d25m46.3s,G,10340,,2001AJ....122.2893W,17.9,7.9702,4906
NGC 6027a,15h59m11.14s,+20d45m17.5s,G,4560,,2003A&A...412...57P,114.9,7.9744,-874
Seyfert's Sextet,15h59m11.87s,+20d45m30.8s,GGroup,4347,,1992ApJ...399..353H,114.9,7.9755,-1087
NGC 6027,15h59m12.54s,+20d45m48.1s,G,4447,,1999A&AS..139..483B,114.8,7.9756,-987
CGCG 166-066,15h51m40.65s,+28d30m08.3s,G,9411,,1992ApJS...79..157F,36.0,7.9810,3977
NGC 6027c,15h59m11.87s,+20d44m51.4s,G,4620,,2000AJ....120.1691N,115.0,7.9819,-814
NGC 6027e,15h59m14.48s,+20d45m57.3s,G,4095,,1991RC3.9.C...0000d,114.8,7.9828,-1339
SDSS J155531.62+192712.3,15h55m31.63s,+19d27m12.3s,G,5376,,2011ApJ...735..125S,129.3,8.0011,-58
SDSS J152310.12+291132.0,15h23m10.14s,+29d11m31.8s,G,9364,,2011ApJ...735..125S,-24.3,8.0048,3930
MSPM 01433,15h57m32.21s,+20d03m12.6s,GClstr,9929,,2012MNRAS.422...25S,122.3,8.0094,4495
2MASX J15573218+2003128,15h57m32.20s,+20d03m12.5s,G,9810,,2007SDSS6.C...0000:,122.3,8.0094,4376
SDSS J151500.56+191619.6,15h15m00.57s,+19d16m19.7s,G,703,,2011ApJ...735..125S,-131.4,8.0166,-4731
NGC 5996,15h46m58.88s,+17d53m03.1s,G,3297,,1998A&AS..130..333T,152.9,8.0201,-2137
UGC 10033,15h46m56.10s,+17d52m42.0s,GPair,3299,,2006HIPAS.C...0000:,153.0,8.0206,-2135
NGC 5994,15h46m53.26s,+17d52m21.4s,G,3290,,1991RC3.9.C...0000d,153.1,8.0209,-2144
SDSS J155045.16+284139.3,15h50m45.16s,+28d41m39.3s,G,9593,,2005SDSS4.C...0000:,33.5,8.0239,4159
2MASX J15504303+2842323,15h50m43.07s,+28d42m31.9s,G,9702,,2005SDSS4.C...0000:,33.4,8.0336,4268
SDSS J155943.57+205401.1,15h59m43.58s,+20d54m01.1s,G,4114,,2011ApJ...735..125S,113.2,8.0368,-1320
CGCG 135-021,15h08m29.04s,+21d56m51.8s,G,6178,,1999PASP..111..438F,-103.0,8.0396,744
USGC U739,15h59m29.50s,+20d46m57.0s,GGroup,4364,,2002AJ....123.2976R,114.4,8.0403,-1070
SDSS J150918.62+255419.0,15h09m18.63s,+25d54m19.0s,G,10044,,2011AJ....142..170H,-66.3,8.0408,4610
KUG 1559+220,16h01m25.27s,+21d55m57.2s,G,9638,,2007SDSS6.C...0000:,103.1,8.0440,4204
SDSS J152349.42+174538.8,15h23m49.43s,+17d45m38.8s,G,6778,,2011ApJ...735..125S,-155.1,8.0480,1344
SDSS J155617.51+273518.8,15h56m17.52s,+27d35m18.9s,G,9554,,2004SDSS3.C...0000:,48.5,8.0569,4120
IC 1135,15h45m34.71s,+17d42m00.3s,G,3087,,2007A&A...465...71T,156.3,8.0583,-2347
SDSS J154745.82+290742.0,15h47m45.83s,+29d07m42.1s,G,9860,,2005SDSS4.C...0000:,26.3,8.0605,4426
UGC 10044,15h48m58.38s,+18d06m11.5s,G,3313,,1997AJ....114..122G,148.1,8.0615,-2121
SDSS J155551.63+192820.6,15h55m51.64s,+19d28m20.7s,G,4981,,2011ApJ...735..125S,128.7,8.0617,-453
MRK 0492,15h58m43.70s,+26d49m05.3s,G,4267,,1988AJ.....95.1602S,57.1,8.0646,-1167
SDSS J155848.68+264726.9,15h58m48.69s,+26d47m27.0s,G,4368,,2011ApJ...741..122O,57.4,8.0676,-1066
SDSS J150855.81+254359.7,15h08m55.81s,+25d43m59.8s,G,1402,,2011ApJ...735..125S,-68.0,8.0678,-4032
UGC 09739,15h08m55.45s,+25d44m01.7s,G,1367,,1992ApJS...81....5S,-68.0,8.0697,-4067
